"dbpedia","city","temp","population","density","website","country_name","image","flag","currency"
"http://dbpedia.org/resource/Luanda","Luanda",25.8,6542942,,,"Angola","http://commons.wikimedia.org/wiki/Special:FilePath/Marginal_Avenida_4_de_Fevreiro_Luanda_March_2013_(cropped).JPG?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Angola.svg?width=300","http://dbpedia.org/resource/Angolan_kwanza"
"http://dbpedia.org/resource/Madrid","Madrid",15,6489162,5390.0,"http://www.madrid.es/portales/munimadrid/en/Home?vgnextfmt=default&vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&idioma=en&idiomaPrevio=en&combo=1","Spain","http://commons.wikimedia.org/wiki/Special:FilePath/Bandera_de_Madrid.svg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Spain.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Colombo","Colombo",27.4,5648000,17344.0,"http://www.colombo.mc.gov.lk/","Sri Lanka","http://commons.wikimedia.org/wiki/Special:FilePath/Colombo2.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Sri_Lanka.svg?width=300","http://dbpedia.org/resource/Sri_Lankan_rupee"
"http://dbpedia.org/resource/Toronto","Toronto",9.9,5583064,4149.5,"http://www.toronto.ca/","Canada","http://commons.wikimedia.org/wiki/Special:FilePath/Montage_of_Toronto_7.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Canada_(Pantone).svg?width=300","http://dbpedia.org/resource/Canadian_dollar"
"http://dbpedia.org/resource/Frankfurt","Frankfurt",10.6,5500000,,"http://www.frankfurt.de/","Germany","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Frankfurt_am_Main.svg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Germany.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Barcelona","Barcelona",18.2,5375774,,"http://www.barcelona.cat/en/","Spain","http://commons.wikimedia.org/wiki/Special:FilePath/Barcelona_collage.JPG?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Spain.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Caracas","Caracas",21.1,5297026,4212.9,"http://www.gdc.gob.ve/","Venezuela","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Caracas.svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Venezuela.svg?width=300","http://dbpedia.org/resource/Venezuelan_bolívar"
"http://dbpedia.org/resource/Katowice","Katowice",8.2,5294000,,"http://www.katowice.eu","Poland","http://commons.wikimedia.org/wiki/Special:FilePath/Katowice_Flaga.svg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Poland_(normative).svg?width=300","http://dbpedia.org/resource/Polish_złoty"
"http://dbpedia.org/resource/Bielsko-Biała","Bielsko-Biała",8,5294000,,"http://www.um.bielsko.pl","Poland","http://commons.wikimedia.org/wiki/Special:FilePath/Bielsko-Biała_Montage.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Poland_(normative).svg?width=300","http://dbpedia.org/resource/Polish_złoty"
"http://dbpedia.org/resource/Hamburg","Hamburg",9,5046182,,"http://www.hamburg.de/","Germany","http://commons.wikimedia.org/wiki/Special:FilePath/Hamburg_montage.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Germany.svg?width=300","http://dbpedia.org/resource/Euro"
"http://dbpedia.org/resource/Hefei","Hefei",16.2,5031123,,"http://hefei.gov.cn","China","http://commons.wikimedia.org/wiki/Special:FilePath/Hefei_montage.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_People%27s_Republic_of_China.svg?width=300","http://dbpedia.org/resource/Renminbi"
"http://dbpedia.org/resource/Algiers","Algiers",17.8,5000000,,,"Algeria","http://commons.wikimedia.org/wiki/Special:FilePath/Algiers_Montage.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Algeria.svg?width=300","http://dbpedia.org/resource/Algerian_dinar"
"http://dbpedia.org/resource/Guayaquil","Guayaquil",26.5,5000000,,"http://www.guayaquil.gob.ec","Ecuador","http://commons.wikimedia.org/wiki/Special:FilePath/Guayaquil_montage.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Ecuador.svg?width=300","http://dbpedia.org/resource/United_States_dollar"
"http://dbpedia.org/resource/Quito","Quito",15.6,4700000,,"http://www.quito.com.ec","Ecuador","http://commons.wikimedia.org/wiki/Special:FilePath/Montaje_Quito.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Ecuador.svg?width=300","http://dbpedia.org/resource/United_States_dollar"
"http://dbpedia.org/resource/Quito","Quito",15.6,4700000,,"http://www.quito.gob.ec","Ecuador","http://commons.wikimedia.org/wiki/Special:FilePath/Montaje_Quito.png?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Ecuador.svg?width=300","http://dbpedia.org/resource/United_States_dollar"
"http://dbpedia.org/resource/Guadalajara","Guadalajara",20.9,4424252,10361.0,"http://www.guadalajara.gob.mx","Mexico","http://commons.wikimedia.org/wiki/Special:FilePath/Ciudad_de_Guadalajara.jpg?width=300","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Mexico.svg?width=300","http://dbpedia.org/resource/Mexican_peso"
"http://dbpedia.org/resource/Porto_Alegre","Porto Alegre",19.5,4405769,3030.0,"http://www.portoalegre.rs.gov.br","Brazil","http://commons.wikimedia.org/wiki/Special:FilePath/Montage_of_Porto_Alegre.jpg?width=300","http://en.wikipedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg?width=300","http://dbpedia.org/resource/Brazilian_real"
